"","x","y","sci.name","mod","climate_proj","ToE"
"207",-67.625,43.375,"Brosme brosme","IPSL","8-5",2015
"208",-67.625,43.375,"Calanus finmarchicus","AWI","2-6",2087
"209",-67.625,43.375,"Calanus finmarchicus","AWI","8-5",2019
"210",-67.625,43.375,"Calanus finmarchicus","CNRM","2-6",2015
"211",-67.625,43.375,"Calanus finmarchicus","CNRM","8-5",2043
"212",-67.625,43.375,"Calanus finmarchicus","GFDL","8-5",2017
"213",-67.625,43.375,"Calanus finmarchicus","HAD","2-6",2059
"214",-67.625,43.375,"Calanus finmarchicus","HAD","8-5",2068
"215",-67.625,43.375,"Calanus finmarchicus","IPSL","2-6",2035
"216",-67.625,43.375,"Calanus finmarchicus","IPSL","8-5",2038
"217",-67.625,43.375,"Calanus glacialis","AWI","2-6",2054
"218",-67.625,43.375,"Calanus glacialis","AWI","8-5",2091
"219",-67.625,43.375,"Calanus glacialis","CNRM","2-6",2056
"220",-67.625,43.375,"Calanus glacialis","CNRM","8-5",2037
"221",-67.625,43.375,"Calanus glacialis","GFDL","8-5",2082
"222",-67.625,43.375,"Calanus glacialis","HAD","2-6",2015
"223",-67.625,43.375,"Calanus glacialis","HAD","8-5",2060
"224",-67.625,43.375,"Calanus glacialis","IPSL","2-6",2080
"225",-67.625,43.375,"Calanus glacialis","IPSL","8-5",2017
"226",-67.625,43.375,"Cetorhinus maximus","AWI","2-6",2019
"227",-67.625,43.375,"Cetorhinus maximus","AWI","8-5",2017
"228",-67.625,43.375,"Cetorhinus maximus","CNRM","2-6",2037
"229",-67.625,43.375,"Cetorhinus maximus","CNRM","8-5",2041
"230",-67.625,43.375,"Cetorhinus maximus","GFDL","8-5",2035
"231",-67.625,43.375,"Cetorhinus maximus","HAD","2-6",2035
"232",-67.625,43.375,"Cetorhinus maximus","HAD","8-5",2027
"233",-67.625,43.375,"Cetorhinus maximus","IPSL","2-6",2035
"234",-67.625,43.375,"Cetorhinus maximus","IPSL","8-5",2030
"235",-67.625,43.375,"Chionoecetes opilio","AWI","2-6",2018
"236",-67.625,43.375,"Chionoecetes opilio","AWI","8-5",2091
"237",-67.625,43.375,"Chionoecetes opilio","CNRM","2-6",2091
"238",-67.625,43.375,"Chionoecetes opilio","CNRM","8-5",2064
"239",-67.625,43.375,"Chionoecetes opilio","GFDL","8-5",2022
"240",-67.625,43.375,"Chionoecetes opilio","HAD","2-6",2092
"241",-67.625,43.375,"Chionoecetes opilio","HAD","8-5",2053
"242",-67.625,43.375,"Chionoecetes opilio","IPSL","2-6",2070
"243",-67.625,43.375,"Chionoecetes opilio","IPSL","8-5",2016
"244",-67.625,43.375,"Eubalaena glacialis","AWI","2-6",2028
"245",-67.625,43.375,"Eubalaena glacialis","AWI","8-5",2052
"246",-67.625,43.375,"Eubalaena glacialis","CNRM","2-6",2101
"247",-67.625,43.375,"Eubalaena glacialis","CNRM","8-5",2061
"248",-67.625,43.375,"Eubalaena glacialis","GFDL","8-5",2074
"249",-67.625,43.375,"Eubalaena glacialis","HAD","2-6",2101
"250",-67.625,43.375,"Eubalaena glacialis","HAD","8-5",2058
"251",-67.625,43.375,"Eubalaena glacialis","IPSL","2-6",2101
"252",-67.625,43.375,"Eubalaena glacialis","IPSL","8-5",2079
"253",-67.625,43.375,"Gadus morhua","AWI","2-6",2100
"254",-67.625,43.375,"Gadus morhua","AWI","8-5",2085
"255",-67.625,43.375,"Gadus morhua","CNRM","2-6",2032
"256",-67.625,43.375,"Gadus morhua","CNRM","8-5",2025
"257",-67.625,43.375,"Gadus morhua","GFDL","8-5",2029
"258",-67.625,43.375,"Gadus morhua","HAD","2-6",2086
"259",-67.625,43.375,"Gadus morhua","HAD","8-5",2091
"260",-67.625,43.375,"Gadus morhua","IPSL","2-6",2018
"261",-67.625,43.375,"Gadus morhua","IPSL","8-5",2074
"262",-67.625,43.375,"Glyptocephalus cynoglossus","AWI","2-6",2019
"263",-67.625,43.375,"Glyptocephalus cynoglossus","AWI","8-5",2071
