"climate_proj","species","benchmark","max","min","comp","id","functional_group","facet_lab"
"2-6","Hyperoodon ampullatus",2075,NA,NA,0,"2-6-2075-Hyperoodon ampullatus","Mammals/Reptiles","RCP 2.6"
"2-6","Pandalus borealis",2075,NA,NA,0,"2-6-2075-Pandalus borealis","Benthic Invertebrates","RCP 2.6"
"2-6","Lamna nasus",2075,NA,NA,0,"2-6-2075-Lamna nasus","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Squalus acanthias",2075,NA,NA,0,"2-6-2075-Squalus acanthias","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Urophycis tenuis",2075,NA,NA,0,"2-6-2075-Urophycis tenuis","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Carcharodon carcharias",2075,NA,NA,0,"2-6-2075-Carcharodon carcharias","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Leucoraja ocellata",2075,NA,NA,0,"2-6-2075-Leucoraja ocellata","Benthic fish","RCP 2.6"
"2-6","Homarus americanus",2100,NA,NA,0,"2-6-2100-Homarus americanus","Benthic Invertebrates","RCP 2.6"
"2-6","Cetorhinus maximus",2100,NA,NA,0,"2-6-2100-Cetorhinus maximus","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Balaenoptera musculus",2100,NA,NA,0,"2-6-2100-Balaenoptera musculus","Mammals/Reptiles","RCP 2.6"
"2-6","Calanus finmarchicus",2100,NA,NA,0,"2-6-2100-Calanus finmarchicus","Copepod","RCP 2.6"
"2-6","Illex illecebrosus",2100,NA,NA,0,"2-6-2100-Illex illecebrosus","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Leucoraja erinacea",2100,NA,NA,0,"2-6-2100-Leucoraja erinacea","Benthic fish","RCP 2.6"
"2-6","Caretta caretta",2100,NA,NA,0,"2-6-2100-Caretta caretta","Mammals/Reptiles","RCP 2.6"
"2-6","Lophius americanus",2100,NA,NA,0,"2-6-2100-Lophius americanus","Benthic fish","RCP 2.6"
"2-6","Eubalaena glacialis",2100,NA,NA,0,"2-6-2100-Eubalaena glacialis","Mammals/Reptiles","RCP 2.6"
"2-6","Hyperoodon ampullatus",2100,NA,NA,0,"2-6-2100-Hyperoodon ampullatus","Mammals/Reptiles","RCP 2.6"
"2-6","Pandalus borealis",2100,NA,NA,0,"2-6-2100-Pandalus borealis","Benthic Invertebrates","RCP 2.6"
"2-6","Lamna nasus",2100,NA,NA,0,"2-6-2100-Lamna nasus","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Squalus acanthias",2100,NA,NA,0,"2-6-2100-Squalus acanthias","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Urophycis tenuis",2100,NA,NA,0,"2-6-2100-Urophycis tenuis","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Carcharodon carcharias",2100,NA,NA,0,"2-6-2100-Carcharodon carcharias","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Leucoraja ocellata",2100,NA,NA,0,"2-6-2100-Leucoraja ocellata","Benthic fish","RCP 2.6"
"8-5","Homarus americanus",2025,NA,NA,0,"8-5-2025-Homarus americanus","Benthic Invertebrates","RCP 8.5"
"8-5","Gadus morhua",2025,NA,NA,0,"8-5-2025-Gadus morhua","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Cetorhinus maximus",2025,NA,NA,0,"8-5-2025-Cetorhinus maximus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Balaenoptera musculus",2025,NA,NA,0,"8-5-2025-Balaenoptera musculus","Mammals/Reptiles","RCP 8.5"
"8-5","Calanus finmarchicus",2025,NA,NA,0,"8-5-2025-Calanus finmarchicus","Copepod","RCP 8.5"
