"","mod","climate_proj","year","mean.temp","temp.sd"
"228","GFDL","8-5",2070,13.2132772720328,5.49209828862096
"229","GFDL","8-5",2071,12.4047712495643,5.06057616373899
"230","GFDL","8-5",2072,12.688467383721,5.61580679950527
"231","GFDL","8-5",2073,12.6384865400246,4.9192110669389
"232","GFDL","8-5",2074,13.3855122382492,5.56338159993715
"233","GFDL","8-5",2075,13.4560895933542,5.4060213794549
"234","GFDL","8-5",2076,12.894681124949,5.66810898987632
"235","GFDL","8-5",2077,12.0625205993351,5.43347777194516
"236","GFDL","8-5",2078,13.0843341804812,5.67930327824077
"237","GFDL","8-5",2079,12.9995475069552,5.51012009055753
"238","GFDL","8-5",2080,13.5508952337096,5.71878798733866
"239","GFDL","8-5",2081,13.7572420743946,5.45854582409609
"240","GFDL","8-5",2082,14.2080155591467,5.31801405102031
"241","GFDL","8-5",2083,13.511821491211,5.41483343777812
"242","GFDL","8-5",2084,13.3512386429019,5.63435852373536
"243","GFDL","8-5",2085,13.1789096319119,5.49495962921729
"244","GFDL","8-5",2086,14.102381454471,5.84097658753298
"245","GFDL","8-5",2087,13.9337063349522,5.54507824533402
"246","GFDL","8-5",2088,13.731146400179,5.94712796735698
"247","GFDL","8-5",2089,13.1203867408561,5.59562916493884
"248","GFDL","8-5",2090,13.4646010157454,6.2095212585656
"249","GFDL","8-5",2091,14.3743518894493,5.48295803363998
"250","GFDL","8-5",2092,14.5506865348111,5.5955505889441
"251","GFDL","8-5",2093,14.6324610710362,5.42513702699669
"252","GFDL","8-5",2094,14.0549536567295,5.53265830306557
"253","GFDL","8-5",2095,14.6879503512127,5.31767682118808
"254","GFDL","8-5",2096,14.7552618887392,5.82769432055257
"255","GFDL","8-5",2097,14.8032631565476,5.37217596652617
"256","GFDL","8-5",2098,15.0584178367229,5.2989610934943
"257","GFDL","8-5",2099,14.7711746062741,5.21143549358221
"258","GFDL","8-5",2100,14.5948857847915,5.52058077665422
"259","HAD","2-6",2015,9.83611608584087,5.18198141750775
