common,sci.name,group,details,var,source,lwr,upr
Spiny dogfish,Squalus acanthias,Piscivore,Commercially fished/Threatened,depth,shackell,,
Thorny skate,Amblyraja radiata,Large benthivore,Special concern,depth,shackell,,
White hake,Urophycis tenuis,Piscivore,Commercially fished/Threatened,depth,shackell,,
White shark,Carcharodon carcharias,Carnivore,Vulnerable species,depth,shackell,,
Winter skate,Leucoraja ocellata,Large benthivore,Threatened,depth,shackell,,
Witch flounder,Glyptocephalus cynoglossus,Medium benthivore,Commercially fished/Sensitive population,depth,shackell,,
American lobster,Homarus americanus,Decapod,Commercially fished,depth,obis,7.32,32.92
American plaice,Hippoglossoides platessoides,Large benthivore,Commercially fished/Endangered,depth,obis,59.7,350.5
(ESS/WSS) Atlantic cod,Gadus morhua,Piscivore,Commercially fished/Endangered,depth,obis,58.5,339
Atlantic halibut,Hippoglossus hippoglossus,Piscivore,Commercially fished,depth,obis,58.5,319.85
Atlantic wolffish,Anarhichas lupus,Large benthivore,Special concern,depth,obis,65,325.5
Basking shark,Cetorhinus maximus,Planktivore,Endangered species,depth,obis,0,0
Blue whale,Balaenoptera musculus,Piscivore,Endangered species,depth,obis,,
Copepod (1),Calanus glacialis,Zooplankton,Important food source,depth,obis,7.5,210
Copepod (2),Calanus finmarchicus,Zooplankton,Important food source,depth,obis,7.5,175.29
Common shortfin squid,Illex illecebrosus,Piscivore,Important food source,depth,obis,57.6,398.9
Cusk,Brosme brosme,Piscivore,Endangered species,depth,obis,95.35,383.45
(ESS/WSS)haddock,Melanogrammus aeglefinus,Large benthivore,Commercially fished,depth,obis,56.5,220
Little skate,Leucoraja erinacea,Medium benthivore,Sensitive population,depth,obis,32,115.3
Loggerhead turtle,Caretta caretta,Piscivore,Vulnerable species,depth,obis,6,250
Monkfish,Lophius americanus,Piscivore,Commercially fished/Sensitive population,depth,obis,60.55,334
North Atlantic Right whale,Eubalaena glacialis,Planktivore,Critically Endangered,depth,obis,0,0.8
Northern Bottlenose whale,Hyperoodon ampullatus,Piscivore,Depleted species,depth,obis,,
Northern shrimp,Pandalus borealis,Planktivore,Commercially fished,depth,obis,80.79,352.8
(ESS/WSS)pollock,Pollachius virens,Piscivore,Commercially fished/Sensitive population,depth,obis,46,244.5
Porbeagle shark,Lamna nasus,Piscivore,Vulnerable species,depth,obis,580,1592.5
Redfish species (1),Sebastes fasciatus,Piscivore,Commercially fished/Endangered,depth,obis,63.375,216
Redfish species (2),Sebastes mentella,Piscivore,Commercially fished/Endangered,depth,obis,127,570
Smooth skate,Malacoraja senta,Medium benthivore,Special concern,depth,obis,84.1248,417
Snow crab,Chionoecetes opilio,Decapod,Commercially fished,depth,obis,77.5,373.5
Spiny dogfish,Squalus acanthias,Piscivore,Commercially fished/Threatened,depth,obis,39.5,223
Thorny skate,Amblyraja radiata,Large benthivore,Special concern,depth,obis,65.5,440.5
White hake,Urophycis tenuis,Piscivore,Commercially fished/Threatened,depth,obis,59.68,397.5
White shark,Carcharodon carcharias,Carnivore,Vulnerable species,depth,obis,,
Winter skate,Leucoraja ocellata,Large benthivore,Threatened,depth,obis,32.5,138
Witch flounder,Glyptocephalus cynoglossus,Medium benthivore,Commercially fished/Sensitive population,depth,obis,80.695,486
